node1,node2,Heuristic distance,route_distance
Agra,Lucknow,294,330
Agra,Rajsamand,474,574
Agra,Raebareli,339,401
Agra,Patna,732,839
Agra,Gaya,748,871
Agra,Kota,305,401
Agra,Sikar,287,353
Agra,Prayagraj,429,472
Agra,Bhopal,438,536
Agra,Una,504,610
Agra,Bundi,304,408
Agra,Sarangarh,804,1002
Agra,Lakhimpur,286,363
Agra,Madhepura,840,970
Agra,Arrah,688,787
Agra,Daudnagar,681,800
Agra,Belagavi,1305,1561
Agra,Hanamkonda,1027,1257
Agra,Sitamarhi,747,887
Agra,Morena,75,82
Agra,Agra,0,0
Agra,Sitapur,267,326
Agra,Delhi,191,227
Agra,Faridabad,152,178
Agra,Jodhpur,506,570
Agra,Mahoba,280,371
Agra,Pakur,1025,1218
Agra,Sagar,376,421
Agra,Baghpat,210,270
Agra,Nawada,795,931
Agra,Bikaner,472,571
Agra,Mirzapur,508,567
Agra,Ghazipur,582,677
Agra,Jaipur,222,239
Agra,Durgapur,1019,1104
Agra,Chitrakoot,361,426
Agra,Aligarh,80,91
Agra,Rohtas,644,728
Agra,Palamu,715,886
Agra,Araria,947,1098
Agra,Calicut,1777,2233
Agra,Jehanabad,730,872
Agra,Bhagalpur,921,1070
Agra,Sri Ganganagar,504,620
Agra,Balaghat,633,793
