node1,node2,Heuristic distance,route_distance
Aligarh,Lucknow,305,333
Aligarh,Rajsamand,523,619
Aligarh,Raebareli,364,404
Aligarh,Patna,746,842
Aligarh,Gaya,770,874
Aligarh,Kota,370,446
Aligarh,Sikar,292,358
Aligarh,Prayagraj,462,501
Aligarh,Bhopal,518,630
Aligarh,Una,433,505
Aligarh,Bundi,365,453
Aligarh,Sarangarh,862,1095
Aligarh,Lakhimpur,264,328
Aligarh,Madhepura,844,973
Aligarh,Arrah,703,790
Aligarh,Daudnagar,704,803
Aligarh,Belagavi,1384,1660
Aligarh,Hanamkonda,1105,1350
Aligarh,Sitamarhi,748,890
Aligarh,Morena,155,175
Aligarh,Agra,80,93
Aligarh,Sitapur,258,306
Aligarh,Delhi,131,163
Aligarh,Faridabad,94,117
Aligarh,Jodhpur,534,615
Aligarh,Mahoba,339,444
Aligarh,Pakur,1039,1221
Aligarh,Sagar,454,514
Aligarh,Baghpat,143,165
Aligarh,Nawada,815,934
Aligarh,Bikaner,470,525
Aligarh,Mirzapur,541,597
Aligarh,Ghazipur,603,680
Aligarh,Jaipur,252,284
Aligarh,Durgapur,1044,1133
Aligarh,Chitrakoot,409,491
Aligarh,Aligarh,0,0
Aligarh,Rohtas,668,773
Aligarh,Palamu,751,916
Aligarh,Araria,949,1101
Aligarh,Calicut,1857,2326
Aligarh,Jehanabad,748,875
Aligarh,Bhagalpur,932,1073
Aligarh,Sri Ganganagar,467,588
Aligarh,Balaghat,706,886
