node1,node2,Heuristic distance,route_distance
Araria,Lucknow,653,763
Araria,Rajsamand,1367,1635
Araria,Raebareli,619,731
Araria,Patna,239,313
Araria,Gaya,287,396
Araria,Kota,1167,1396
Araria,Sikar,1233,1448
Araria,Prayagraj,567,673
Araria,Bhopal,1064,1294
Araria,Una,1240,1617
Araria,Bundi,1186,1428
Araria,Sarangarh,672,962
Araria,Lakhimpur,691,830
Araria,Madhepura,107,131
Araria,Arrah,286,355
Araria,Daudnagar,330,417
Araria,Belagavi,1761,2176
Araria,Hanamkonda,1213,1647
Araria,Sitamarhi,201,238
Araria,Morena,945,1113
Araria,Agra,947,1096
Araria,Sitapur,691,853
Araria,Delhi,1061,1275
Araria,Faridabad,1034,1272
Araria,Jodhpur,1441,1665
Araria,Mahoba,764,911
Araria,Pakur,170,236
Araria,Sagar,915,1126
Araria,Baghpat,1056,1278
Araria,Nawada,236,320
Araria,Bikaner,1417,1666
Araria,Mirzapur,503,597
Araria,Ghazipur,393,470
Araria,Jaipur,1165,1334
Araria,Durgapur,289,382
Araria,Chitrakoot,669,799
Araria,Aligarh,949,1111
Araria,Rohtas,364,449
Araria,Palamu,422,573
Araria,Araria,0,0
Araria,Calicut,2052,2617
Araria,Jehanabad,267,362
Araria,Bhagalpur,110,137
Araria,Sri Ganganagar,1397,1716
Araria,Balaghat,880,1210
