node1,node2,Heuristic distance,route_distance
Arrah,Lucknow,398,452
Arrah,Rajsamand,1086,1325
Arrah,Raebareli,350,421
Arrah,Patna,47,52
Arrah,Gaya,90,130
Arrah,Kota,886,1086
Arrah,Sikar,975,1138
Arrah,Prayagraj,283,308
Arrah,Bhopal,778,940
Arrah,Una,1050,1307
Arrah,Bundi,906,1118
Arrah,Sarangarh,468,639
Arrah,Lakhimpur,468,595
Arrah,Madhepura,185,224
Arrah,Arrah,0,0
Arrah,Daudnagar,63,87
Arrah,Belagavi,1507,1820
Arrah,Hanamkonda,988,1321
Arrah,Sitamarhi,141,171
Arrah,Morena,675,802
Arrah,Agra,688,786
Arrah,Sitapur,455,543
Arrah,Delhi,826,964
Arrah,Faridabad,794,961
Arrah,Jodhpur,1168,1354
Arrah,Mahoba,481,557
Arrah,Pakur,336,432
Arrah,Sagar,629,772
Arrah,Baghpat,826,967
Arrah,Nawada,115,155
Arrah,Bikaner,1161,1356
Arrah,Mirzapur,216,242
Arrah,Ghazipur,109,122
Arrah,Jaipur,899,1024
Arrah,Durgapur,350,443
Arrah,Chitrakoot,384,445
Arrah,Aligarh,703,801
Arrah,Rohtas,84,94
Arrah,Palamu,198,247
Arrah,Araria,286,352
Arrah,Calicut,1838,2328
Arrah,Jehanabad,49,80
Arrah,Bhagalpur,234,283
Arrah,Sri Ganganagar,1167,1406
Arrah,Balaghat,616,855
