node1,node2,Heuristic distance,route_distance
Baghpat,Lucknow,433,496
Baghpat,Rajsamand,542,661
Baghpat,Raebareli,498,567
Baghpat,Patna,866,1005
Baghpat,Gaya,898,1037
Baghpat,Kota,434,542
Baghpat,Sikar,252,307
Baghpat,Prayagraj,600,664
Baghpat,Bhopal,629,853
Baghpat,Una,294,348
Baghpat,Bundi,419,549
Baghpat,Sarangarh,1005,1265
Baghpat,Lakhimpur,364,430
Baghpat,Madhepura,954,1136
Baghpat,Arrah,826,953
Baghpat,Daudnagar,833,966
Baghpat,Belagavi,1476,1756
Baghpat,Hanamkonda,1234,1520
Baghpat,Sitamarhi,856,1053
Baghpat,Morena,281,345
Baghpat,Agra,210,265
Baghpat,Sitapur,371,433
Baghpat,Delhi,29,48
Baghpat,Faridabad,59,67
Baghpat,Jodhpur,511,593
Baghpat,Mahoba,482,607
Baghpat,Pakur,1158,1384
Baghpat,Sagar,585,684
Baghpat,Baghpat,0,0
Baghpat,Nawada,939,1097
Baghpat,Bikaner,396,457
Baghpat,Mirzapur,676,760
Baghpat,Ghazipur,730,843
Baghpat,Jaipur,265,326
Baghpat,Durgapur,1172,1296
Baghpat,Chitrakoot,551,653
Baghpat,Aligarh,143,162
Baghpat,Rohtas,798,936
Baghpat,Palamu,888,1079
Baghpat,Araria,1056,1264
Baghpat,Calicut,1963,2442
Baghpat,Jehanabad,873,1038
Baghpat,Bhagalpur,1049,1236
Baghpat,Sri Ganganagar,342,432
Baghpat,Balaghat,843,1056
