node1,node2,Heuristic distance,route_distance
Balaghat,Lucknow,563,732
Balaghat,Rajsamand,737,999
Balaghat,Raebareli,501,655
Balaghat,Patna,656,907
Balaghat,Gaya,592,885
Balaghat,Kota,579,768
Balaghat,Sikar,819,1107
Balaghat,Prayagraj,435,582
Balaghat,Bhopal,327,469
Balaghat,Una,1138,1400
Balaghat,Bundi,612,801
Balaghat,Sarangarh,300,439
Balaghat,Lakhimpur,682,902
Balaghat,Madhepura,794,1079
Balaghat,Arrah,616,855
Balaghat,Daudnagar,559,829
Balaghat,Belagavi,891,1089
Balaghat,Hanamkonda,426,538
Balaghat,Sitamarhi,755,1026
Balaghat,Morena,564,714
Balaghat,Agra,633,795
Balaghat,Sitapur,639,861
Balaghat,Delhi,823,1011
Balaghat,Faridabad,785,968
Balaghat,Jodhpur,877,1151
Balaghat,Mahoba,386,540
Balaghat,Pakur,844,1161
Balaghat,Sagar,269,353
Balaghat,Baghpat,843,1060
Balaghat,Nawada,645,944
Balaghat,Bikaner,976,1240
Balaghat,Mirzapur,440,614
Balaghat,Ghazipur,542,756
Balaghat,Jaipur,719,973
Balaghat,Durgapur,756,1024
Balaghat,Chitrakoot,379,504
Balaghat,Aligarh,706,883
Balaghat,Rohtas,532,794
Balaghat,Palamu,460,704
Balaghat,Araria,880,1207
Balaghat,Calicut,1258,1596
Balaghat,Jehanabad,618,897
Balaghat,Bhagalpur,790,1123
Balaghat,Sri Ganganagar,1096,1410
Balaghat,Balaghat,0,0
