node1,node2,Heuristic distance,route_distance
Belagavi,Lucknow,1389,1717
Belagavi,Rajsamand,1022,1269
Belagavi,Raebareli,1346,1617
Belagavi,Patna,1545,1869
Belagavi,Gaya,1476,1865
Belagavi,Kota,1046,1212
Belagavi,Sikar,1303,1576
Belagavi,Prayagraj,1307,1544
Belagavi,Bhopal,875,1086
Belagavi,Una,1739,2068
Belagavi,Bundi,1067,1245
Belagavi,Sarangarh,1104,1384
Belagavi,Lakhimpur,1487,1850
Belagavi,Madhepura,1681,2041
Belagavi,Arrah,1507,1817
Belagavi,Daudnagar,1448,1794
Belagavi,Belagavi,0,0
Belagavi,Hanamkonda,589,737
Belagavi,Sitamarhi,1647,1988
Belagavi,Morena,1233,1483
Belagavi,Agra,1305,1564
Belagavi,Sitapur,1445,1809
Belagavi,Delhi,1448,1719
Belagavi,Faridabad,1420,1684
Belagavi,Jodhpur,1160,1457
Belagavi,Mahoba,1186,1488
Belagavi,Pakur,1698,2137
Belagavi,Sagar,989,1260
Belagavi,Baghpat,1476,1786
Belagavi,Nawada,1525,1925
Belagavi,Bikaner,1353,1630
Belagavi,Mirzapur,1327,1576
Belagavi,Ghazipur,1433,1718
Belagavi,Jaipur,1232,1463
Belagavi,Durgapur,1588,2000
Belagavi,Chitrakoot,1227,1466
Belagavi,Aligarh,1384,1702
Belagavi,Rohtas,1422,1756
Belagavi,Palamu,1338,1711
Belagavi,Araria,1761,2169
Belagavi,Calicut,526,647
Belagavi,Jehanabad,1505,1866
Belagavi,Bhagalpur,1663,2100
Belagavi,Sri Ganganagar,1558,1878
Belagavi,Balaghat,891,1091
