node1,node2,Heuristic distance,route_distance
Bhagalpur,Lucknow,628,735
Bhagalpur,Rajsamand,1319,1608
Bhagalpur,Raebareli,584,704
Bhagalpur,Patna,188,233
Bhagalpur,Gaya,205,240
Bhagalpur,Kota,1119,1369
Bhagalpur,Sikar,1208,1421
Bhagalpur,Prayagraj,516,591
Bhagalpur,Bhopal,995,1223
Bhagalpur,Una,1255,1590
Bhagalpur,Bundi,1140,1401
Bhagalpur,Sarangarh,567,780
Bhagalpur,Lakhimpur,686,878
Bhagalpur,Madhepura,119,186
Bhagalpur,Arrah,234,283
Bhagalpur,Daudnagar,260,298
Bhagalpur,Belagavi,1663,2103
Bhagalpur,Hanamkonda,1108,1542
Bhagalpur,Sitamarhi,210,302
Bhagalpur,Morena,910,1086
Bhagalpur,Agra,921,1069
Bhagalpur,Sitapur,679,826
Bhagalpur,Delhi,1052,1248
Bhagalpur,Faridabad,1021,1244
Bhagalpur,Jodhpur,1403,1638
Bhagalpur,Mahoba,714,840
Bhagalpur,Pakur,110,151
Bhagalpur,Sagar,848,1055
Bhagalpur,Baghpat,1049,1250
Bhagalpur,Nawada,149,181
Bhagalpur,Bikaner,1394,1639
Bhagalpur,Mirzapur,444,525
Bhagalpur,Ghazipur,343,405
Bhagalpur,Jaipur,1134,1307
Bhagalpur,Durgapur,193,246
Bhagalpur,Chitrakoot,615,728
Bhagalpur,Aligarh,932,1084
Bhagalpur,Rohtas,298,344
Bhagalpur,Palamu,329,454
Bhagalpur,Araria,110,137
Bhagalpur,Calicut,1945,2466
Bhagalpur,Jehanabad,200,225
Bhagalpur,Bhagalpur,0,0
Bhagalpur,Sri Ganganagar,1391,1689
Bhagalpur,Balaghat,790,1108
