node1,node2,Heuristic distance,route_distance
Bhopal,Lucknow,534,612
Bhopal,Rajsamand,410,573
Bhopal,Raebareli,509,579
Bhopal,Patna,824,990
Bhopal,Gaya,790,986
Bhopal,Kota,267,341
Bhopal,Sikar,533,705
Bhopal,Prayagraj,510,619
Bhopal,Bhopal,0,0
Bhopal,Una,916,1156
Bhopal,Bundi,299,375
Bhopal,Sarangarh,611,748
Bhopal,Lakhimpur,619,745
Bhopal,Madhepura,962,1164
Bhopal,Arrah,778,938
Bhopal,Daudnagar,736,915
Bhopal,Belagavi,875,1087
Bhopal,Hanamkonda,623,793
Bhopal,Sitamarhi,896,1085
Bhopal,Morena,363,460
Bhopal,Agra,438,542
Bhopal,Sitapur,579,703
Bhopal,Delhi,603,783
Bhopal,Faridabad,570,748
Bhopal,Jodhpur,553,724
Bhopal,Mahoba,337,383
Bhopal,Pakur,1073,1362
Bhopal,Sagar,149,169
Bhopal,Baghpat,629,849
Bhopal,Nawada,846,1045
Bhopal,Bikaner,669,814
Bhopal,Mirzapur,562,683
Bhopal,Ghazipur,676,821
Bhopal,Jaipur,436,593
Bhopal,Durgapur,1012,1252
Bhopal,Chitrakoot,410,504
Bhopal,Aligarh,518,630
Bhopal,Rohtas,700,876
Bhopal,Palamu,685,890
Bhopal,Araria,1064,1292
Bhopal,Calicut,1339,1711
Bhopal,Jehanabad,798,987
Bhopal,Bhagalpur,995,1221
Bhopal,Sri Ganganagar,816,1050
Bhopal,Balaghat,327,469
