node1,node2,Heuristic distance,route_distance
Bikaner,Lucknow,766,855
Bikaner,Rajsamand,332,422
Bikaner,Raebareli,811,926
Bikaner,Patna,1205,1363
Bikaner,Gaya,1219,1396
Bikaner,Kota,401,476
Bikaner,Sikar,185,221
Bikaner,Prayagraj,895,1042
Bikaner,Bhopal,669,813
Bikaner,Una,477,608
Bikaner,Bundi,369,439
Bikaner,Sarangarh,1217,1543
Bikaner,Lakhimpur,734,884
Bikaner,Madhepura,1311,1494
Bikaner,Arrah,1161,1311
Bikaner,Daudnagar,1153,1325
Bikaner,Belagavi,1353,1628
Bikaner,Hanamkonda,1280,1619
Bikaner,Sitamarhi,1216,1411
Bikaner,Morena,493,622
Bikaner,Agra,472,570
Bikaner,Sitapur,727,827
Bikaner,Delhi,379,423
Bikaner,Faridabad,395,445
Bikaner,Jodhpur,199,253
Bikaner,Mahoba,720,941
Bikaner,Pakur,1498,1743
Bikaner,Sagar,714,919
Bikaner,Baghpat,396,456
Bikaner,Nawada,1267,1455
Bikaner,Bikaner,0,0
Bikaner,Mirzapur,975,1138
Bikaner,Ghazipur,1055,1202
Bikaner,Jaipur,273,334
Bikaner,Durgapur,1489,1674
Bikaner,Chitrakoot,815,996
Bikaner,Aligarh,470,523
Bikaner,Rohtas,1115,1298
Bikaner,Palamu,1175,1457
Bikaner,Araria,1417,1623
Bikaner,Calicut,1873,2314
Bikaner,Jehanabad,1202,1397
Bikaner,Bhagalpur,1394,1594
Bikaner,Sri Ganganagar,216,241
Bikaner,Balaghat,976,1240
