node1,node2,Heuristic distance,route_distance
Bundi,Lucknow,552,667
Bundi,Rajsamand,182,231
Bundi,Raebareli,568,695
Bundi,Patna,953,1162
Bundi,Gaya,945,1120
Bundi,Kota,32,38
Bundi,Sikar,246,331
Bundi,Prayagraj,623,753
Bundi,Bhopal,299,374
Bundi,Una,671,823
Bundi,Bundi,0,0
Bundi,Sarangarh,869,1081
Bundi,Lakhimpur,581,757
Bundi,Madhepura,1079,1293
Bundi,Arrah,906,1110
Bundi,Daudnagar,882,1049
Bundi,Belagavi,1067,1245
Bundi,Hanamkonda,916,1181
Bundi,Sitamarhi,994,1210
Bundi,Morena,262,346
Bundi,Agra,304,407
Bundi,Sitapur,554,733
Bundi,Delhi,390,475
Bundi,Faridabad,369,440
Bundi,Jodhpur,277,350
Bundi,Mahoba,426,517
Bundi,Pakur,1234,1496
Bundi,Sagar,359,481
Bundi,Baghpat,419,541
Bundi,Nawada,999,1179
Bundi,Bikaner,369,440
Bundi,Mirzapur,697,825
Bundi,Ghazipur,797,955
Bundi,Jaipur,164,219
Bundi,Durgapur,1200,1386
Bundi,Chitrakoot,526,638
Bundi,Aligarh,365,457
Bundi,Rohtas,843,1010
Bundi,Palamu,873,1084
Bundi,Araria,1186,1421
Bundi,Calicut,1568,1930
Bundi,Jehanabad,940,1121
Bundi,Bhagalpur,1140,1393
Bundi,Sri Ganganagar,525,676
Bundi,Balaghat,612,802
