node1,node2,Heuristic distance,route_distance
Calicut,Lucknow,1808,2224
Calicut,Rajsamand,1541,1978
Calicut,Raebareli,1754,2124
Calicut,Patna,1867,2376
Calicut,Gaya,1786,2372
Calicut,Kota,1544,1894
Calicut,Sikar,1811,2258
Calicut,Prayagraj,1694,2051
Calicut,Bhopal,1339,1708
Calicut,Una,2238,2750
Calicut,Bundi,1568,1927
Calicut,Sarangarh,1382,1863
Calicut,Lakhimpur,1919,2357
Calicut,Madhepura,1991,2547
Calicut,Arrah,1838,2324
Calicut,Daudnagar,1775,2301
Calicut,Belagavi,526,647
Calicut,Hanamkonda,850,1059
Calicut,Sitamarhi,1979,2494
Calicut,Morena,1702,2152
Calicut,Agra,1777,2234
Calicut,Sitapur,1876,2315
Calicut,Delhi,1936,2401
Calicut,Faridabad,1905,2366
Calicut,Jodhpur,1683,2166
Calicut,Mahoba,1612,1995
Calicut,Pakur,1953,2430
Calicut,Sagar,1427,1805
Calicut,Baghpat,1963,2468
Calicut,Nawada,1826,2431
Calicut,Bikaner,1873,2312
Calicut,Mirzapur,1694,2083
Calicut,Ghazipur,1785,2224
Calicut,Jaipur,1732,2145
Calicut,Durgapur,1826,2264
Calicut,Chitrakoot,1631,1973
Calicut,Aligarh,1857,2322
Calicut,Rohtas,1758,2262
Calicut,Palamu,1647,2169
Calicut,Araria,2052,2643
Calicut,Calicut,0,0
Calicut,Jehanabad,1824,2373
Calicut,Bhagalpur,1945,2495
Calicut,Sri Ganganagar,2074,2560
Calicut,Balaghat,1258,1597
