node1,node2,Heuristic distance,route_distance
Chitrakoot,Lucknow,185,228
Chitrakoot,Rajsamand,704,846
Chitrakoot,Raebareli,122,151
Chitrakoot,Patna,432,495
Chitrakoot,Gaya,419,491
Chitrakoot,Kota,504,606
Chitrakoot,Sikar,631,776
Chitrakoot,Prayagraj,102,124
Chitrakoot,Bhopal,410,504
Chitrakoot,Una,829,1006
Chitrakoot,Bundi,526,638
Chitrakoot,Sarangarh,457,686
Chitrakoot,Lakhimpur,306,357
Chitrakoot,Madhepura,564,669
Chitrakoot,Arrah,384,443
Chitrakoot,Daudnagar,356,420
Chitrakoot,Belagavi,1227,1469
Chitrakoot,Hanamkonda,805,1001
Chitrakoot,Sitamarhi,490,590
Chitrakoot,Morena,322,423
Chitrakoot,Agra,361,424
Chitrakoot,Sitapur,265,316
Chitrakoot,Delhi,540,641
Chitrakoot,Faridabad,502,600
Chitrakoot,Jodhpur,795,988
Chitrakoot,Mahoba,99,121
Chitrakoot,Pakur,708,867
Chitrakoot,Sagar,261,336
Chitrakoot,Baghpat,551,666
Chitrakoot,Nawada,473,550
Chitrakoot,Bikaner,815,995
Chitrakoot,Mirzapur,171,196
Chitrakoot,Ghazipur,276,326
Chitrakoot,Jaipur,543,662
Chitrakoot,Durgapur,679,757
Chitrakoot,Chitrakoot,0,0
Chitrakoot,Aligarh,409,501
Chitrakoot,Rohtas,318,381
Chitrakoot,Palamu,359,540
Chitrakoot,Araria,669,797
Chitrakoot,Calicut,1631,1977
Chitrakoot,Jehanabad,415,492
Chitrakoot,Bhagalpur,615,726
Chitrakoot,Sri Ganganagar,866,1045
Chitrakoot,Balaghat,379,504
