node1,node2,Heuristic distance,route_distance
Daudnagar,Lucknow,399,466
Daudnagar,Rajsamand,1060,1259
Daudnagar,Raebareli,342,435
Daudnagar,Patna,96,105
Daudnagar,Gaya,66,71
Daudnagar,Kota,860,1019
Daudnagar,Sikar,967,1151
Daudnagar,Prayagraj,261,285
Daudnagar,Bhopal,736,917
Daudnagar,Una,1069,1321
Daudnagar,Bundi,882,1051
Daudnagar,Sarangarh,404,553
Daudnagar,Lakhimpur,484,609
Daudnagar,Madhepura,235,288
Daudnagar,Arrah,63,87
Daudnagar,Daudnagar,0,0
Daudnagar,Belagavi,1448,1797
Daudnagar,Hanamkonda,925,1235
Daudnagar,Sitamarhi,204,235
Daudnagar,Morena,662,772
Daudnagar,Agra,681,800
Daudnagar,Sitapur,465,557
Daudnagar,Delhi,831,978
Daudnagar,Faridabad,797,975
Daudnagar,Jodhpur,1149,1368
Daudnagar,Mahoba,455,534
Daudnagar,Pakur,351,447
Daudnagar,Sagar,589,749
Daudnagar,Baghpat,833,981
Daudnagar,Nawada,116,130
Daudnagar,Bikaner,1153,1370
Daudnagar,Mirzapur,185,219
Daudnagar,Ghazipur,102,136
Daudnagar,Jaipur,886,1038
Daudnagar,Durgapur,339,377
Daudnagar,Chitrakoot,356,422
Daudnagar,Aligarh,704,815
Daudnagar,Rohtas,38,46
Daudnagar,Palamu,135,160
Daudnagar,Araria,330,416
Daudnagar,Calicut,1775,2305
Daudnagar,Jehanabad,62,72
Daudnagar,Bhagalpur,260,298
Daudnagar,Sri Ganganagar,1170,1420
Daudnagar,Balaghat,559,815
