node1,node2,Heuristic distance,route_distance
Delhi,Lucknow,431,497
Delhi,Rajsamand,514,621
Delhi,Raebareli,493,568
Delhi,Patna,867,1005
Delhi,Gaya,896,1038
Delhi,Kota,405,467
Delhi,Sikar,227,273
Delhi,Prayagraj,593,665
Delhi,Bhopal,603,778
Delhi,Una,316,365
Delhi,Bundi,390,474
Delhi,Sarangarh,991,1220
Delhi,Lakhimpur,370,451
Delhi,Madhepura,958,1137
Delhi,Arrah,826,953
Delhi,Daudnagar,831,967
Delhi,Belagavi,1448,1681
Delhi,Hanamkonda,1210,1475
Delhi,Sitamarhi,861,1054
Delhi,Morena,260,300
Delhi,Agra,191,220
Delhi,Sitapur,373,454
Delhi,Delhi,0,0
Delhi,Faridabad,38,46
Delhi,Jodhpur,486,559
Delhi,Mahoba,467,587
Delhi,Pakur,1160,1385
Delhi,Sagar,563,639
Delhi,Baghpat,29,55
Delhi,Nawada,939,1098
Delhi,Bikaner,379,424
Delhi,Mirzapur,671,761
Delhi,Ghazipur,728,844
Delhi,Jaipur,237,286
Delhi,Durgapur,1170,1297
Delhi,Chitrakoot,540,642
Delhi,Aligarh,131,163
Delhi,Rohtas,796,937
Delhi,Palamu,882,1080
Delhi,Araria,1061,1265
Delhi,Calicut,1936,2367
Delhi,Jehanabad,872,1039
Delhi,Bhagalpur,1052,1236
Delhi,Sri Ganganagar,340,408
Delhi,Balaghat,823,1011
