node1,node2,Heuristic distance,route_distance
Durgapur,Lucknow,739,842
Durgapur,Rajsamand,1373,1595
Durgapur,Raebareli,681,743
Durgapur,Patna,318,413
Durgapur,Gaya,273,311
Durgapur,Kota,1176,1355
Durgapur,Sikar,1303,1452
Durgapur,Prayagraj,593,621
Durgapur,Bhopal,1012,1253
Durgapur,Una,1400,1648
Durgapur,Bundi,1200,1387
Durgapur,Sarangarh,485,658
Durgapur,Lakhimpur,818,929
Durgapur,Madhepura,308,435
Durgapur,Arrah,350,442
Durgapur,Daudnagar,339,376
Durgapur,Belagavi,1588,2003
Durgapur,Hanamkonda,1011,1391
Durgapur,Sitamarhi,385,481
Durgapur,Morena,996,1108
Durgapur,Agra,1019,1101
Durgapur,Sitapur,803,933
Durgapur,Delhi,1170,1317
Durgapur,Faridabad,1137,1276
Durgapur,Jodhpur,1473,1669
Durgapur,Mahoba,778,870
Durgapur,Pakur,134,168
Durgapur,Sagar,875,1085
Durgapur,Baghpat,1172,1308
Durgapur,Nawada,234,306
Durgapur,Bikaner,1489,1671
Durgapur,Mirzapur,513,555
Durgapur,Ghazipur,442,512
Durgapur,Jaipur,1220,1339
Durgapur,Durgapur,0,0
Durgapur,Chitrakoot,679,758
Durgapur,Aligarh,1044,1142
Durgapur,Rohtas,375,405
Durgapur,Palamu,329,427
Durgapur,Araria,289,386
Durgapur,Calicut,1826,2240
Durgapur,Jehanabad,301,361
Durgapur,Bhagalpur,193,251
Durgapur,Sri Ganganagar,1510,1721
Durgapur,Balaghat,756,1027
