node1,node2,Heuristic distance,route_distance
Faridabad,Lucknow,397,447
Faridabad,Rajsamand,503,607
Faridabad,Raebareli,458,518
Faridabad,Patna,836,955
Faridabad,Gaya,863,988
Faridabad,Kota,382,433
Faridabad,Sikar,231,290
Faridabad,Prayagraj,557,615
Faridabad,Bhopal,570,744
Faridabad,Una,353,402
Faridabad,Bundi,369,440
Faridabad,Sarangarh,953,1175
Faridabad,Lakhimpur,343,451
Faridabad,Madhepura,930,1087
Faridabad,Arrah,794,903
Faridabad,Daudnagar,797,917
Faridabad,Belagavi,1420,1647
Faridabad,Hanamkonda,1174,1430
Faridabad,Sitamarhi,833,1004
Faridabad,Morena,222,255
Faridabad,Agra,152,175
Faridabad,Sitapur,343,419
Faridabad,Delhi,38,46
Faridabad,Faridabad,0,0
Faridabad,Jodhpur,488,603
Faridabad,Mahoba,429,544
Faridabad,Pakur,1129,1335
Faridabad,Sagar,525,594
Faridabad,Baghpat,59,69
Faridabad,Nawada,906,1047
Faridabad,Bikaner,395,457
Faridabad,Mirzapur,635,711
Faridabad,Ghazipur,695,794
Faridabad,Jaipur,224,272
Faridabad,Durgapur,1137,1247
Faridabad,Chitrakoot,502,599
Faridabad,Aligarh,94,116
Faridabad,Rohtas,762,887
Faridabad,Palamu,846,1030
Faridabad,Araria,1034,1215
Faridabad,Calicut,1905,2333
Faridabad,Jehanabad,840,989
Faridabad,Bhagalpur,1021,1186
Faridabad,Sri Ganganagar,373,448
Faridabad,Balaghat,785,966
