node1,node2,Heuristic distance,route_distance
Gaya,Lucknow,465,537
Gaya,Rajsamand,1122,1330
Gaya,Raebareli,409,506
Gaya,Patna,89,102
Gaya,Gaya,0,0
Gaya,Kota,923,1090
Gaya,Sikar,1033,1223
Gaya,Prayagraj,325,356
Gaya,Bhopal,790,988
Gaya,Una,1131,1392
Gaya,Bundi,945,1122
Gaya,Sarangarh,405,566
Gaya,Lakhimpur,547,680
Gaya,Madhepura,206,283
Gaya,Arrah,90,130
Gaya,Daudnagar,66,71
Gaya,Belagavi,1476,1868
Gaya,Hanamkonda,939,1323
Gaya,Sitamarhi,205,230
Gaya,Morena,728,843
Gaya,Agra,748,871
Gaya,Sitapur,530,628
Gaya,Delhi,896,1049
Gaya,Faridabad,863,1046
Gaya,Jodhpur,1214,1439
Gaya,Mahoba,519,605
Gaya,Pakur,288,364
Gaya,Sagar,644,820
Gaya,Baghpat,898,1052
Gaya,Nawada,55,59
Gaya,Bikaner,1219,1441
Gaya,Mirzapur,248,290
Gaya,Ghazipur,168,207
Gaya,Jaipur,952,1109
Gaya,Durgapur,273,313
Gaya,Chitrakoot,419,493
Gaya,Aligarh,770,886
Gaya,Rohtas,103,117
Gaya,Palamu,139,216
Gaya,Araria,287,396
Gaya,Calicut,1786,2322
Gaya,Jehanabad,46,49
Gaya,Bhagalpur,205,240
Gaya,Sri Ganganagar,1236,1491
Gaya,Balaghat,592,871
