node1,node2,Heuristic distance,route_distance
Ghazipur,Lucknow,297,343
Ghazipur,Rajsamand,977,1165
Ghazipur,Raebareli,243,279
Ghazipur,Patna,156,174
Ghazipur,Gaya,168,207
Ghazipur,Kota,777,926
Ghazipur,Sikar,869,1028
Ghazipur,Prayagraj,174,202
Ghazipur,Bhopal,676,823
Ghazipur,Una,967,1198
Ghazipur,Bundi,797,958
Ghazipur,Sarangarh,446,689
Ghazipur,Lakhimpur,381,486
Ghazipur,Madhepura,288,342
Ghazipur,Arrah,109,122
Ghazipur,Daudnagar,102,136
Ghazipur,Belagavi,1433,1723
Ghazipur,Hanamkonda,936,1254
Ghazipur,Sitamarhi,222,289
Ghazipur,Morena,567,693
Ghazipur,Agra,582,676
Ghazipur,Sitapur,362,433
Ghazipur,Delhi,728,855
Ghazipur,Faridabad,695,852
Ghazipur,Jodhpur,1059,1245
Ghazipur,Mahoba,372,441
Ghazipur,Pakur,443,554
Ghazipur,Sagar,526,656
Ghazipur,Baghpat,730,858
Ghazipur,Nawada,212,267
Ghazipur,Bikaner,1055,1247
Ghazipur,Mirzapur,113,142
Ghazipur,Ghazipur,0,0
Ghazipur,Jaipur,791,915
Ghazipur,Durgapur,442,514
Ghazipur,Chitrakoot,276,328
Ghazipur,Aligarh,603,692
Ghazipur,Rohtas,72,94
Ghazipur,Palamu,200,296
Ghazipur,Araria,393,470
Ghazipur,Calicut,1785,2230
Ghazipur,Jehanabad,147,208
Ghazipur,Bhagalpur,343,405
Ghazipur,Sri Ganganagar,1068,1297
Ghazipur,Balaghat,542,758
