node1,node2,Heuristic distance,route_distance
Hanamkonda,Lucknow,989,1250
Hanamkonda,Rajsamand,977,1366
Hanamkonda,Raebareli,927,1150
Hanamkonda,Patna,1018,1333
Hanamkonda,Gaya,939,1290
Hanamkonda,Kota,884,1134
Hanamkonda,Sikar,1155,1498
Hanamkonda,Prayagraj,855,1077
Hanamkonda,Bhopal,623,794
Hanamkonda,Una,1527,1864
Hanamkonda,Bundi,916,1168
Hanamkonda,Sarangarh,541,802
Hanamkonda,Lakhimpur,1107,1383
Hanamkonda,Madhepura,1145,1516
Hanamkonda,Arrah,988,1320
Hanamkonda,Daudnagar,925,1233
Hanamkonda,Belagavi,589,738
Hanamkonda,Hanamkonda,0,0
Hanamkonda,Sitamarhi,1130,1463
Hanamkonda,Morena,953,1179
Hanamkonda,Agra,1027,1260
Hanamkonda,Sitapur,1065,1341
Hanamkonda,Delhi,1210,1476
Hanamkonda,Faridabad,1174,1433
Hanamkonda,Jodhpur,1133,1517
Hanamkonda,Mahoba,807,1021
Hanamkonda,Pakur,1130,1579
Hanamkonda,Sagar,651,832
Hanamkonda,Baghpat,1234,1525
Hanamkonda,Nawada,982,1349
Hanamkonda,Bikaner,1280,1607
Hanamkonda,Mirzapur,848,1109
Hanamkonda,Ghazipur,936,1251
Hanamkonda,Jaipur,1059,1386
Hanamkonda,Durgapur,1011,1391
Hanamkonda,Chitrakoot,805,999
Hanamkonda,Aligarh,1105,1348
Hanamkonda,Rohtas,907,1262
Hanamkonda,Palamu,800,1107
Hanamkonda,Araria,1213,1644
Hanamkonda,Calicut,850,1062
Hanamkonda,Jehanabad,975,1300
Hanamkonda,Bhagalpur,1108,1541
Hanamkonda,Sri Ganganagar,1438,1843
Hanamkonda,Balaghat,426,538
