node1,node2,Heuristic distance,route_distance
Jaipur,Lucknow,512,569
Jaipur,Rajsamand,279,335
Jaipur,Raebareli,549,639
Jaipur,Patna,945,1077
Jaipur,Gaya,952,1110
Jaipur,Kota,188,256
Jaipur,Sikar,100,116
Jaipur,Prayagraj,627,710
Jaipur,Bhopal,436,592
Jaipur,Una,507,606
Jaipur,Bundi,164,218
Jaipur,Sarangarh,946,1211
Jaipur,Lakhimpur,506,587
Jaipur,Madhepura,1058,1208
Jaipur,Arrah,899,1025
Jaipur,Daudnagar,886,1039
Jaipur,Belagavi,1232,1463
Jaipur,Hanamkonda,1059,1399
Jaipur,Sitamarhi,966,1125
Jaipur,Morena,224,290
Jaipur,Agra,222,238
Jaipur,Sitapur,489,564
Jaipur,Delhi,237,288
Jaipur,Faridabad,224,271
Jaipur,Jodhpur,285,330
Jaipur,Mahoba,447,609
Jaipur,Pakur,1235,1457
Jaipur,Sagar,451,615
Jaipur,Baghpat,265,317
Jaipur,Nawada,1002,1169
Jaipur,Bikaner,273,335
Jaipur,Mirzapur,706,806
Jaipur,Ghazipur,791,916
Jaipur,Jaipur,0,0
Jaipur,Durgapur,1220,1342
Jaipur,Chitrakoot,543,664
Jaipur,Aligarh,252,288
Jaipur,Rohtas,848,966
Jaipur,Palamu,902,1125
Jaipur,Araria,1165,1336
Jaipur,Calicut,1732,2148
Jaipur,Jehanabad,939,1111
Jaipur,Bhagalpur,1134,1308
Jaipur,Sri Ganganagar,381,461
Jaipur,Balaghat,719,974
