node1,node2,Heuristic distance,route_distance
Jehanabad,Lucknow,442,538
Jehanabad,Rajsamand,1119,1331
Jehanabad,Raebareli,391,507
Jehanabad,Patna,44,52
Jehanabad,Gaya,46,49
Jehanabad,Kota,918,1091
Jehanabad,Sikar,1017,1224
Jehanabad,Prayagraj,316,357
Jehanabad,Bhopal,798,989
Jehanabad,Una,1099,1393
Jehanabad,Bundi,940,1123
Jehanabad,Sarangarh,446,615
Jehanabad,Lakhimpur,516,681
Jehanabad,Madhepura,175,234
Jehanabad,Arrah,49,80
Jehanabad,Daudnagar,62,72
Jehanabad,Belagavi,1505,1870
Jehanabad,Hanamkonda,975,1302
Jehanabad,Sitamarhi,160,180
Jehanabad,Morena,714,844
Jehanabad,Agra,730,872
Jehanabad,Sitapur,502,629
Jehanabad,Delhi,872,1050
Jehanabad,Faridabad,840,1047
Jehanabad,Jodhpur,1205,1440
Jehanabad,Mahoba,513,606
Jehanabad,Pakur,296,375
Jehanabad,Sagar,651,821
Jehanabad,Baghpat,873,1053
Jehanabad,Nawada,66,90
Jehanabad,Bikaner,1202,1442
Jehanabad,Mirzapur,244,291
Jehanabad,Ghazipur,147,208
Jehanabad,Jaipur,939,1110
Jehanabad,Durgapur,301,362
Jehanabad,Chitrakoot,415,494
Jehanabad,Aligarh,748,887
Jehanabad,Rohtas,98,118
Jehanabad,Palamu,176,228
Jehanabad,Araria,267,362
Jehanabad,Calicut,1824,2377
Jehanabad,Jehanabad,0,0
Jehanabad,Bhagalpur,200,225
Jehanabad,Sri Ganganagar,1213,1492
Jehanabad,Balaghat,618,882
