node1,node2,Heuristic distance,route_distance
Jodhpur,Lucknow,792,899
Jodhpur,Rajsamand,155,190
Jodhpur,Raebareli,822,970
Jodhpur,Patna,1215,1407
Jodhpur,Gaya,1214,1440
Jodhpur,Kota,306,374
Jodhpur,Sikar,259,315
Jodhpur,Prayagraj,888,1040
Jodhpur,Bhopal,553,711
Jodhpur,Una,660,842
Jodhpur,Bundi,277,337
Jodhpur,Sarangarh,1145,1417
Jodhpur,Lakhimpur,791,918
Jodhpur,Madhepura,1334,1539
Jodhpur,Arrah,1168,1355
Jodhpur,Daudnagar,1149,1369
Jodhpur,Belagavi,1160,1458
Jodhpur,Hanamkonda,1133,1517
Jodhpur,Sitamarhi,1244,1456
Jodhpur,Morena,496,633
Jodhpur,Agra,506,568
Jodhpur,Sitapur,774,895
Jodhpur,Delhi,486,560
Jodhpur,Faridabad,488,602
Jodhpur,Jodhpur,0,0
Jodhpur,Mahoba,696,853
Jodhpur,Pakur,1501,1787
Jodhpur,Sagar,634,817
Jodhpur,Baghpat,511,593
Jodhpur,Nawada,1266,1500
Jodhpur,Bikaner,199,253
Jodhpur,Mirzapur,965,1136
Jodhpur,Ghazipur,1059,1246
Jodhpur,Jaipur,285,330
Jodhpur,Durgapur,1473,1672
Jodhpur,Chitrakoot,795,974
Jodhpur,Aligarh,534,618
Jodhpur,Rohtas,1110,1296
Jodhpur,Palamu,1148,1455
Jodhpur,Araria,1441,1667
Jodhpur,Calicut,1683,2169
Jodhpur,Jehanabad,1205,1441
Jodhpur,Bhagalpur,1403,1638
Jodhpur,Sri Ganganagar,415,502
Jodhpur,Balaghat,877,1138
