node1,node2,Heuristic distance,route_distance
Kota,Lucknow,540,634
Kota,Rajsamand,200,251
Kota,Raebareli,552,662
Kota,Patna,933,1129
Kota,Gaya,923,1087
Kota,Kota,0,0
Kota,Sikar,275,368
Kota,Prayagraj,602,720
Kota,Bhopal,267,341
Kota,Una,694,861
Kota,Bundi,32,38
Kota,Sarangarh,839,1048
Kota,Lakhimpur,575,767
Kota,Madhepura,1060,1260
Kota,Arrah,886,1077
Kota,Daudnagar,860,1016
Kota,Belagavi,1046,1211
Kota,Hanamkonda,884,1148
Kota,Sitamarhi,977,1177
Kota,Morena,256,331
Kota,Agra,305,444
Kota,Sitapur,546,720
Kota,Delhi,405,512
Kota,Faridabad,382,477
Kota,Jodhpur,306,388
Kota,Mahoba,405,484
Kota,Pakur,1211,1463
Kota,Sagar,328,448
Kota,Baghpat,434,578
Kota,Nawada,977,1146
Kota,Bikaner,401,477
Kota,Mirzapur,675,792
Kota,Ghazipur,777,922
Kota,Jaipur,188,256
Kota,Durgapur,1176,1353
Kota,Chitrakoot,504,605
Kota,Aligarh,370,494
Kota,Rohtas,822,977
Kota,Palamu,848,1051
Kota,Araria,1167,1389
Kota,Calicut,1544,1897
Kota,Jehanabad,918,1088
Kota,Bhagalpur,1119,1360
Kota,Sri Ganganagar,555,714
Kota,Balaghat,579,768
