node1,node2,Heuristic distance,route_distance
Lakhimpur,Lucknow,122,131
Lakhimpur,Rajsamand,757,919
Lakhimpur,Raebareli,195,208
Lakhimpur,Patna,505,627
Lakhimpur,Gaya,547,660
Lakhimpur,Kota,575,723
Lakhimpur,Sikar,556,668
Lakhimpur,Prayagraj,297,331
Lakhimpur,Bhopal,619,745
Lakhimpur,Una,585,737
Lakhimpur,Bundi,581,752
Lakhimpur,Sarangarh,741,958
Lakhimpur,Lakhimpur,0,0
Lakhimpur,Madhepura,589,702
Lakhimpur,Arrah,468,575
Lakhimpur,Daudnagar,484,589
Lakhimpur,Belagavi,1487,1824
Lakhimpur,Hanamkonda,1107,1397
Lakhimpur,Sitamarhi,491,621
Lakhimpur,Morena,319,389
Lakhimpur,Agra,286,365
Lakhimpur,Sitapur,43,46
Lakhimpur,Delhi,370,451
Lakhimpur,Faridabad,343,451
Lakhimpur,Jodhpur,791,914
Lakhimpur,Mahoba,306,362
Lakhimpur,Pakur,795,1007
Lakhimpur,Sagar,498,577
Lakhimpur,Baghpat,364,430
Lakhimpur,Nawada,583,719
Lakhimpur,Bikaner,734,886
Lakhimpur,Mirzapur,358,416
Lakhimpur,Ghazipur,381,466
Lakhimpur,Jaipur,506,584
Lakhimpur,Durgapur,818,931
Lakhimpur,Chitrakoot,306,357
Lakhimpur,Aligarh,264,328
Lakhimpur,Rohtas,453,559
Lakhimpur,Palamu,563,713
Lakhimpur,Araria,691,830
Lakhimpur,Calicut,1919,2372
Lakhimpur,Jehanabad,516,661
Lakhimpur,Bhagalpur,686,858
Lakhimpur,Sri Ganganagar,706,866
Lakhimpur,Balaghat,682,902
