node1,node2,Heuristic distance,route_distance
Lucknow,Lucknow,0,0
Lucknow,Rajsamand,734,881
Lucknow,Raebareli,74,78
Lucknow,Patna,440,504
Lucknow,Gaya,465,537
Lucknow,Kota,540,642
Lucknow,Sikar,581,683
Lucknow,Prayagraj,180,201
Lucknow,Bhopal,534,612
Lucknow,Una,684,818
Lucknow,Bundi,552,674
Lucknow,Sarangarh,621,828
Lucknow,Lakhimpur,122,130
Lucknow,Madhepura,546,636
Lucknow,Arrah,398,452
Lucknow,Daudnagar,399,466
Lucknow,Belagavi,1389,1691
Lucknow,Hanamkonda,989,1264
Lucknow,Sitamarhi,453,553
Lucknow,Morena,296,348
Lucknow,Agra,294,331
Lucknow,Sitapur,83,88
Lucknow,Delhi,431,510
Lucknow,Faridabad,397,507
Lucknow,Jodhpur,792,900
Lucknow,Mahoba,202,229
Lucknow,Pakur,734,884
Lucknow,Sagar,401,444
Lucknow,Baghpat,433,512
Lucknow,Nawada,509,597
Lucknow,Bikaner,766,901
Lucknow,Mirzapur,249,286
Lucknow,Ghazipur,297,343
Lucknow,Jaipur,512,569
Lucknow,Durgapur,739,844
Lucknow,Chitrakoot,185,227
Lucknow,Aligarh,305,346
Lucknow,Rohtas,365,436
Lucknow,Palamu,460,626
Lucknow,Araria,653,764
Lucknow,Calicut,1808,2240
Lucknow,Jehanabad,442,538
Lucknow,Bhagalpur,628,735
Lucknow,Sri Ganganagar,771,951
Lucknow,Balaghat,563,731
