node1,node2,Heuristic distance,route_distance
Madhepura,Lucknow,546,635
Madhepura,Rajsamand,1260,1507
Madhepura,Raebareli,512,603
Madhepura,Patna,140,185
Madhepura,Gaya,206,286
Madhepura,Kota,1060,1268
Madhepura,Sikar,1127,1320
Madhepura,Prayagraj,461,545
Madhepura,Bhopal,962,1166
Madhepura,Una,1147,1489
Madhepura,Bundi,1079,1300
Madhepura,Sarangarh,609,837
Madhepura,Lakhimpur,589,702
Madhepura,Madhepura,0,0
Madhepura,Arrah,185,227
Madhepura,Daudnagar,235,289
Madhepura,Belagavi,1681,2048
Madhepura,Hanamkonda,1145,1519
Madhepura,Sitamarhi,98,118
Madhepura,Morena,837,985
Madhepura,Agra,840,968
Madhepura,Sitapur,587,725
Madhepura,Delhi,958,1147
Madhepura,Faridabad,930,1144
Madhepura,Jodhpur,1334,1537
Madhepura,Mahoba,658,783
Madhepura,Pakur,225,336
Madhepura,Sagar,813,998
Madhepura,Baghpat,954,1150
Madhepura,Nawada,165,216
Madhepura,Bikaner,1311,1538
Madhepura,Mirzapur,400,469
Madhepura,Ghazipur,288,342
Madhepura,Jaipur,1058,1206
Madhepura,Durgapur,308,431
Madhepura,Chitrakoot,564,671
Madhepura,Aligarh,844,983
Madhepura,Rohtas,267,321
Madhepura,Palamu,346,445
Madhepura,Araria,107,131
Madhepura,Calicut,1991,2555
Madhepura,Jehanabad,175,236
Madhepura,Bhagalpur,119,186
Madhepura,Sri Ganganagar,1295,1588
Madhepura,Balaghat,794,1082
