node1,node2,Heuristic distance,route_distance
Mahoba,Lucknow,202,229
Mahoba,Rajsamand,605,725
Mahoba,Raebareli,171,196
Mahoba,Patna,529,607
Mahoba,Gaya,519,603
Mahoba,Kota,405,485
Mahoba,Sikar,538,721
Mahoba,Prayagraj,197,236
Mahoba,Bhopal,337,383
Mahoba,Una,770,950
Mahoba,Bundi,426,517
Mahoba,Sarangarh,524,749
Mahoba,Lakhimpur,306,362
Mahoba,Madhepura,658,781
Mahoba,Arrah,481,555
Mahoba,Daudnagar,455,532
Mahoba,Belagavi,1186,1461
Mahoba,Hanamkonda,807,1034
Mahoba,Sitamarhi,580,702
Mahoba,Morena,231,302
Mahoba,Agra,280,369
Mahoba,Sitapur,264,321
Mahoba,Delhi,467,585
Mahoba,Faridabad,429,544
Mahoba,Jodhpur,696,867
Mahoba,Mahoba,0,0
Mahoba,Pakur,807,980
Mahoba,Sagar,198,215
Mahoba,Baghpat,482,611
Mahoba,Nawada,572,663
Mahoba,Bikaner,720,939
Mahoba,Mirzapur,270,308
Mahoba,Ghazipur,372,439
Mahoba,Jaipur,447,607
Mahoba,Durgapur,778,870
Mahoba,Chitrakoot,99,121
Mahoba,Aligarh,339,432
Mahoba,Rohtas,417,494
Mahoba,Palamu,456,652
Mahoba,Araria,764,909
Mahoba,Calicut,1612,2010
Mahoba,Jehanabad,513,604
Mahoba,Bhagalpur,714,838
Mahoba,Sri Ganganagar,782,989
Mahoba,Balaghat,386,540
