node1,node2,Heuristic distance,route_distance
Mirzapur,Lucknow,249,286
Mirzapur,Rajsamand,875,1033
Mirzapur,Raebareli,179,208
Mirzapur,Patna,263,294
Mirzapur,Gaya,248,290
Mirzapur,Kota,675,793
Mirzapur,Sikar,789,918
Mirzapur,Prayagraj,79,89
Mirzapur,Bhopal,562,683
Mirzapur,Una,934,1113
Mirzapur,Bundi,697,825
Mirzapur,Sarangarh,396,563
Mirzapur,Lakhimpur,358,415
Mirzapur,Madhepura,400,466
Mirzapur,Arrah,216,242
Mirzapur,Daudnagar,185,219
Mirzapur,Belagavi,1327,1580
Mirzapur,Hanamkonda,848,1111
Mirzapur,Sitamarhi,335,413
Mirzapur,Morena,482,573
Mirzapur,Agra,508,566
Mirzapur,Sitapur,328,374
Mirzapur,Delhi,671,782
Mirzapur,Faridabad,635,741
Mirzapur,Jodhpur,965,1134
Mirzapur,Mahoba,270,308
Mirzapur,Pakur,536,667
Mirzapur,Sagar,413,515
Mirzapur,Baghpat,676,773
Mirzapur,Nawada,301,350
Mirzapur,Bikaner,975,1136
Mirzapur,Mirzapur,0,0
Mirzapur,Ghazipur,113,141
Mirzapur,Jaipur,706,804
Mirzapur,Durgapur,513,557
Mirzapur,Chitrakoot,171,196
Mirzapur,Aligarh,541,607
Mirzapur,Rohtas,146,181
Mirzapur,Palamu,211,339
Mirzapur,Araria,503,594
Mirzapur,Calicut,1694,2087
Mirzapur,Jehanabad,244,291
Mirzapur,Bhagalpur,444,525
Mirzapur,Sri Ganganagar,1007,1186
Mirzapur,Balaghat,440,615
