node1,node2,Heuristic distance,route_distance
Morena,Lucknow,296,354
Morena,Rajsamand,441,560
Morena,Raebareli,326,398
Morena,Patna,721,862
Morena,Gaya,728,895
Morena,Kota,256,338
Morena,Sikar,308,426
Morena,Prayagraj,403,479
Morena,Bhopal,363,457
Morena,Una,576,689
Morena,Bundi,262,346
Morena,Sarangarh,750,923
Morena,Lakhimpur,319,392
Morena,Madhepura,837,994
Morena,Arrah,675,810
Morena,Daudnagar,662,824
Morena,Belagavi,1233,1482
Morena,Hanamkonda,953,1177
Morena,Sitamarhi,748,910
Morena,Morena,0,0
Morena,Agra,75,84
Morena,Sitapur,291,345
Morena,Delhi,260,300
Morena,Faridabad,222,257
Morena,Jodhpur,496,633
Morena,Mahoba,231,303
Morena,Pakur,1011,1242
Morena,Sagar,303,342
Morena,Baghpat,281,349
Morena,Nawada,778,954
Morena,Bikaner,493,645
Morena,Mirzapur,482,574
Morena,Ghazipur,567,701
Morena,Jaipur,224,291
Morena,Durgapur,996,1111
Morena,Chitrakoot,322,424
Morena,Aligarh,155,173
Morena,Rohtas,624,735
Morena,Palamu,682,894
Morena,Araria,945,1122
Morena,Calicut,1702,2153
Morena,Jehanabad,714,896
Morena,Bhagalpur,910,1093
Morena,Sri Ganganagar,553,699
Morena,Balaghat,564,713
