node1,node2,Heuristic distance,route_distance
Nawada,Lucknow,509,597
Nawada,Rajsamand,1177,1389
Nawada,Raebareli,456,565
Nawada,Patna,88,105
Nawada,Gaya,55,59
Nawada,Kota,977,1150
Nawada,Sikar,1081,1282
Nawada,Prayagraj,377,416
Nawada,Bhopal,846,1047
Nawada,Una,1165,1451
Nawada,Bundi,999,1182
Nawada,Sarangarh,444,625
Nawada,Lakhimpur,583,739
Nawada,Madhepura,165,216
Nawada,Arrah,115,155
Nawada,Daudnagar,116,130
Nawada,Belagavi,1525,1928
Nawada,Hanamkonda,982,1383
Nawada,Sitamarhi,188,224
Nawada,Morena,778,903
Nawada,Agra,795,930
Nawada,Sitapur,569,687
Nawada,Delhi,939,1109
Nawada,Faridabad,906,1106
Nawada,Jodhpur,1266,1499
Nawada,Mahoba,572,665
Nawada,Pakur,234,304
Nawada,Sagar,700,879
Nawada,Baghpat,939,1112
Nawada,Nawada,0,0
Nawada,Bikaner,1267,1501
Nawada,Mirzapur,301,350
Nawada,Ghazipur,212,267
Nawada,Jaipur,1002,1168
Nawada,Durgapur,234,307
Nawada,Chitrakoot,473,552
Nawada,Aligarh,815,945
Nawada,Rohtas,155,177
Nawada,Palamu,186,275
Nawada,Araria,236,320
Nawada,Calicut,1826,2370
Nawada,Jehanabad,66,90
Nawada,Bhagalpur,149,181
Nawada,Sri Ganganagar,1279,1551
Nawada,Balaghat,645,930
