node1,node2,Heuristic distance,route_distance
Pakur,Lucknow,734,884
Pakur,Rajsamand,1411,1706
Pakur,Raebareli,686,853
Pakur,Patna,293,382
Pakur,Gaya,288,364
Pakur,Kota,1211,1467
Pakur,Sikar,1312,1569
Pakur,Prayagraj,612,733
Pakur,Bhopal,1073,1364
Pakur,Una,1365,1739
Pakur,Bundi,1234,1499
Pakur,Sarangarh,593,813
Pakur,Lakhimpur,795,1027
Pakur,Madhepura,225,336
Pakur,Arrah,336,432
Pakur,Daudnagar,351,447
Pakur,Belagavi,1698,2141
Pakur,Hanamkonda,1130,1521
Pakur,Sitamarhi,320,450
Pakur,Morena,1011,1234
Pakur,Agra,1025,1218
Pakur,Sitapur,787,975
Pakur,Delhi,1160,1396
Pakur,Faridabad,1129,1393
Pakur,Jodhpur,1501,1786
Pakur,Mahoba,807,982
Pakur,Pakur,0,0
Pakur,Sagar,929,1197
Pakur,Baghpat,1158,1399
Pakur,Nawada,234,304
Pakur,Bikaner,1498,1788
Pakur,Mirzapur,536,667
Pakur,Ghazipur,443,554
Pakur,Jaipur,1235,1456
Pakur,Durgapur,134,168
Pakur,Chitrakoot,708,869
Pakur,Aligarh,1039,1233
Pakur,Rohtas,390,494
Pakur,Palamu,390,551
Pakur,Araria,170,236
Pakur,Calicut,1953,2404
Pakur,Jehanabad,296,375
Pakur,Bhagalpur,110,151
Pakur,Sri Ganganagar,1500,1838
Pakur,Balaghat,844,1165
