node1,node2,Heuristic distance,route_distance
Palamu,Lucknow,460,626
Palamu,Rajsamand,1044,1292
Palamu,Raebareli,390,527
Palamu,Patna,220,260
Palamu,Gaya,139,216
Palamu,Kota,848,1053
Palamu,Sikar,991,1237
Palamu,Prayagraj,288,405
Palamu,Bhopal,685,890
Palamu,Una,1144,1432
Palamu,Bundi,873,1085
Palamu,Sarangarh,270,427
Palamu,Lakhimpur,563,714
Palamu,Madhepura,346,443
Palamu,Arrah,198,247
Palamu,Daudnagar,135,160
Palamu,Belagavi,1338,1711
Palamu,Hanamkonda,800,1109
Palamu,Sitamarhi,335,390
Palamu,Morena,682,892
Palamu,Agra,715,885
Palamu,Sitapur,537,717
Palamu,Delhi,882,1101
Palamu,Faridabad,846,1060
Palamu,Jodhpur,1148,1453
Palamu,Mahoba,456,654
Palamu,Pakur,390,551
Palamu,Sagar,546,719
Palamu,Baghpat,888,1093
Palamu,Nawada,186,275
Palamu,Bikaner,1175,1455
Palamu,Mirzapur,211,339
Palamu,Ghazipur,200,296
Palamu,Jaipur,902,1123
Palamu,Durgapur,329,428
Palamu,Chitrakoot,359,542
Palamu,Aligarh,751,926
Palamu,Rohtas,136,189
Palamu,Palamu,0,0
Palamu,Araria,422,571
Palamu,Calicut,1647,2174
Palamu,Jehanabad,176,228
Palamu,Bhagalpur,329,454
Palamu,Sri Ganganagar,1217,1505
Palamu,Balaghat,460,689
