node1,node2,Heuristic distance,route_distance
Patna,Lucknow,440,505
Patna,Rajsamand,1134,1377
Patna,Raebareli,395,473
Patna,Patna,0,0
Patna,Gaya,89,102
Patna,Kota,933,1138
Patna,Sikar,1020,1190
Patna,Prayagraj,331,360
Patna,Bhopal,824,992
Patna,Una,1084,1359
Patna,Bundi,953,1170
Patna,Sarangarh,491,653
Patna,Lakhimpur,505,647
Patna,Madhepura,140,185
Patna,Arrah,47,52
Patna,Daudnagar,96,105
Patna,Belagavi,1545,1873
Patna,Hanamkonda,1018,1335
Patna,Sitamarhi,116,131
Patna,Morena,721,855
Patna,Agra,732,838
Patna,Sitapur,495,595
Patna,Delhi,867,1017
Patna,Faridabad,836,1014
Patna,Jodhpur,1215,1407
Patna,Mahoba,529,609
Patna,Pakur,293,382
Patna,Sagar,675,824
Patna,Baghpat,866,1019
Patna,Nawada,88,105
Patna,Bikaner,1205,1408
Patna,Mirzapur,263,294
Patna,Ghazipur,156,174
Patna,Jaipur,945,1076
Patna,Durgapur,318,414
Patna,Chitrakoot,432,497
Patna,Aligarh,746,853
Patna,Rohtas,126,146
Patna,Palamu,220,260
Patna,Araria,239,313
Patna,Calicut,1867,2380
Patna,Jehanabad,44,52
Patna,Bhagalpur,188,233
Patna,Sri Ganganagar,1207,1458
Patna,Balaghat,656,907
