node1,node2,Heuristic distance,route_distance
Prayagraj,Lucknow,180,201
Prayagraj,Rajsamand,803,961
Prayagraj,Raebareli,106,123
Prayagraj,Patna,331,360
Prayagraj,Gaya,325,356
Prayagraj,Kota,602,722
Prayagraj,Sikar,710,822
Prayagraj,Prayagraj,0,0
Prayagraj,Bhopal,510,619
Prayagraj,Una,862,1017
Prayagraj,Bundi,623,754
Prayagraj,Sarangarh,444,626
Prayagraj,Lakhimpur,297,330
Prayagraj,Madhepura,461,543
Prayagraj,Arrah,283,308
Prayagraj,Daudnagar,261,285
Prayagraj,Belagavi,1307,1547
Prayagraj,Hanamkonda,855,1079
Prayagraj,Sitamarhi,387,466
Prayagraj,Morena,403,478
Prayagraj,Agra,429,470
Prayagraj,Sitapur,263,289
Prayagraj,Delhi,593,686
Prayagraj,Faridabad,557,645
Prayagraj,Jodhpur,888,1039
Prayagraj,Mahoba,197,236
Prayagraj,Pakur,612,733
Prayagraj,Sagar,361,451
Prayagraj,Baghpat,600,678
Prayagraj,Nawada,377,416
Prayagraj,Bikaner,895,1040
Prayagraj,Mirzapur,79,89
Prayagraj,Ghazipur,174,200
Prayagraj,Jaipur,627,708
Prayagraj,Durgapur,593,623
Prayagraj,Chitrakoot,102,124
Prayagraj,Aligarh,462,511
Prayagraj,Rohtas,222,247
Prayagraj,Palamu,288,405
Prayagraj,Araria,567,671
Prayagraj,Calicut,1694,2055
Prayagraj,Jehanabad,316,357
Prayagraj,Bhagalpur,516,591
Prayagraj,Sri Ganganagar,928,1090
Prayagraj,Balaghat,435,582
