node1,node2,Heuristic distance,route_distance
Raebareli,Lucknow,74,78
Raebareli,Rajsamand,751,909
Raebareli,Raebareli,0,0
Raebareli,Patna,395,470
Raebareli,Gaya,409,503
Raebareli,Kota,552,670
Raebareli,Sikar,626,741
Raebareli,Prayagraj,106,123
Raebareli,Bhopal,509,579
Raebareli,Una,756,922
Raebareli,Bundi,568,702
Raebareli,Sarangarh,546,750
Raebareli,Lakhimpur,195,207
Raebareli,Madhepura,512,601
Raebareli,Arrah,350,418
Raebareli,Daudnagar,342,432
Raebareli,Belagavi,1346,1620
Raebareli,Hanamkonda,927,1152
Raebareli,Sitamarhi,425,518
Raebareli,Morena,326,396
Raebareli,Agra,339,389
Raebareli,Sitapur,158,166
Raebareli,Delhi,493,579
Raebareli,Faridabad,458,564
Raebareli,Jodhpur,822,957
Raebareli,Mahoba,171,196
Raebareli,Pakur,686,850
Raebareli,Sagar,366,411
Raebareli,Baghpat,498,582
Raebareli,Nawada,456,562
Raebareli,Bikaner,811,959
Raebareli,Mirzapur,179,208
Raebareli,Ghazipur,243,278
Raebareli,Jaipur,549,627
Raebareli,Durgapur,681,744
Raebareli,Chitrakoot,122,151
Raebareli,Aligarh,364,416
Raebareli,Rohtas,305,368
Raebareli,Palamu,390,527
Raebareli,Araria,619,729
Raebareli,Calicut,1754,2128
Raebareli,Jehanabad,391,504
Raebareli,Bhagalpur,584,701
Raebareli,Sri Ganganagar,831,1009
Raebareli,Balaghat,501,655
