node1,node2,Heuristic distance,route_distance
Rajsamand,Lucknow,734,881
Rajsamand,Rajsamand,0,0
Rajsamand,Raebareli,751,909
Rajsamand,Patna,1134,1376
Rajsamand,Gaya,1122,1334
Rajsamand,Kota,200,249
Rajsamand,Sikar,308,375
Rajsamand,Prayagraj,803,967
Rajsamand,Bhopal,410,573
Rajsamand,Una,747,941
Rajsamand,Bundi,182,231
Rajsamand,Sarangarh,1015,1279
Rajsamand,Lakhimpur,757,923
Rajsamand,Madhepura,1260,1507
Rajsamand,Arrah,1086,1324
Rajsamand,Daudnagar,1060,1262
Rajsamand,Belagavi,1022,1273
Rajsamand,Hanamkonda,977,1293
Rajsamand,Sitamarhi,1176,1424
Rajsamand,Morena,441,559
Rajsamand,Agra,474,573
Rajsamand,Sitapur,732,899
Rajsamand,Delhi,514,623
Rajsamand,Faridabad,503,607
Rajsamand,Jodhpur,155,185
Rajsamand,Mahoba,605,730
Rajsamand,Pakur,1411,1710
Rajsamand,Sagar,510,679
Rajsamand,Baghpat,542,653
Rajsamand,Nawada,1177,1393
Rajsamand,Bikaner,332,424
Rajsamand,Mirzapur,875,1038
Rajsamand,Ghazipur,977,1169
Rajsamand,Jaipur,279,335
Rajsamand,Durgapur,1373,1600
Rajsamand,Chitrakoot,704,852
Rajsamand,Aligarh,523,623
Rajsamand,Rohtas,1022,1224
Rajsamand,Palamu,1044,1298
Rajsamand,Araria,1367,1635
Rajsamand,Calicut,1541,1984
Rajsamand,Jehanabad,1119,1335
Rajsamand,Bhagalpur,1319,1607
Rajsamand,Sri Ganganagar,536,673
Rajsamand,Balaghat,737,1000
