node1,node2,Heuristic distance,route_distance
Rohtas,Lucknow,365,436
Rohtas,Rajsamand,1022,1220
Rohtas,Raebareli,305,368
Rohtas,Patna,126,146
Rohtas,Gaya,103,117
Rohtas,Kota,822,981
Rohtas,Sikar,929,1078
Rohtas,Prayagraj,222,247
Rohtas,Bhopal,700,878
Rohtas,Una,1038,1274
Rohtas,Bundi,843,1013
Rohtas,Sarangarh,397,582
Rohtas,Lakhimpur,453,578
Rohtas,Madhepura,267,317
Rohtas,Arrah,84,94
Rohtas,Daudnagar,38,46
Rohtas,Belagavi,1422,1759
Rohtas,Hanamkonda,907,1264
Rohtas,Sitamarhi,224,264
Rohtas,Morena,624,734
Rohtas,Agra,644,726
Rohtas,Sitapur,433,526
Rohtas,Delhi,796,942
Rohtas,Faridabad,762,902
Rohtas,Jodhpur,1110,1295
Rohtas,Mahoba,417,496
Rohtas,Pakur,390,494
Rohtas,Sagar,552,710
Rohtas,Baghpat,798,934
Rohtas,Nawada,155,177
Rohtas,Bikaner,1115,1296
Rohtas,Mirzapur,146,181
Rohtas,Ghazipur,72,94
Rohtas,Jaipur,848,964
Rohtas,Durgapur,375,407
Rohtas,Chitrakoot,318,383
Rohtas,Aligarh,668,768
Rohtas,Rohtas,0,0
Rohtas,Palamu,136,189
Rohtas,Araria,364,446
Rohtas,Calicut,1758,2266
Rohtas,Jehanabad,98,118
Rohtas,Bhagalpur,298,344
Rohtas,Sri Ganganagar,1135,1346
Rohtas,Balaghat,532,794
