node1,node2,Heuristic distance,route_distance
Sagar,Lucknow,401,444
Sagar,Rajsamand,510,679
Sagar,Raebareli,366,411
Sagar,Patna,675,822
Sagar,Gaya,644,818
Sagar,Kota,328,448
Sagar,Sikar,552,748
Sagar,Prayagraj,361,451
Sagar,Bhopal,149,169
Sagar,Una,879,1028
Sagar,Bundi,359,481
Sagar,Sarangarh,510,597
Sagar,Lakhimpur,498,577
Sagar,Madhepura,813,996
Sagar,Arrah,629,770
Sagar,Daudnagar,589,747
Sagar,Belagavi,989,1253
Sagar,Hanamkonda,651,831
Sagar,Sitamarhi,746,917
Sagar,Morena,303,342
Sagar,Agra,376,423
Sagar,Sitapur,456,535
Sagar,Delhi,563,640
Sagar,Faridabad,525,596
Sagar,Jodhpur,634,831
Sagar,Mahoba,198,215
Sagar,Pakur,929,1194
Sagar,Sagar,0,0
Sagar,Baghpat,585,688
Sagar,Nawada,700,877
Sagar,Bikaner,714,920
Sagar,Mirzapur,413,515
Sagar,Ghazipur,526,653
Sagar,Jaipur,451,614
Sagar,Durgapur,875,1084
Sagar,Chitrakoot,261,336
Sagar,Aligarh,454,512
Sagar,Rohtas,552,708
Sagar,Palamu,546,719
Sagar,Araria,915,1124
Sagar,Calicut,1427,1806
Sagar,Jehanabad,651,819
Sagar,Bhagalpur,848,1053
Sagar,Sri Ganganagar,827,1038
Sagar,Balaghat,269,354
