node1,node2,Heuristic distance,route_distance
Sarangarh,Lucknow,621,828
Sarangarh,Rajsamand,1015,1279
Sarangarh,Raebareli,546,750
Sarangarh,Patna,491,653
Sarangarh,Gaya,405,566
Sarangarh,Kota,839,1048
Sarangarh,Sikar,1044,1335
Sarangarh,Prayagraj,444,626
Sarangarh,Bhopal,611,748
Sarangarh,Una,1287,1609
Sarangarh,Bundi,869,1081
Sarangarh,Sarangarh,0,0
Sarangarh,Lakhimpur,741,957
Sarangarh,Madhepura,609,836
Sarangarh,Arrah,468,639
Sarangarh,Daudnagar,404,552
Sarangarh,Belagavi,1104,1385
Sarangarh,Hanamkonda,541,801
Sarangarh,Sitamarhi,606,783
Sarangarh,Morena,750,923
Sarangarh,Agra,804,1004
Sarangarh,Sitapur,705,916
Sarangarh,Delhi,991,1220
Sarangarh,Faridabad,953,1177
Sarangarh,Jodhpur,1145,1431
Sarangarh,Mahoba,524,749
Sarangarh,Pakur,593,809
Sarangarh,Sagar,510,597
Sarangarh,Baghpat,1005,1269
Sarangarh,Nawada,444,625
Sarangarh,Bikaner,1217,1554
Sarangarh,Mirzapur,396,563
Sarangarh,Ghazipur,446,689
Sarangarh,Jaipur,946,1201
Sarangarh,Durgapur,485,672
Sarangarh,Chitrakoot,457,686
Sarangarh,Aligarh,862,1093
Sarangarh,Rohtas,397,582
Sarangarh,Palamu,270,427
Sarangarh,Araria,672,962
Sarangarh,Calicut,1382,1866
Sarangarh,Jehanabad,446,615
Sarangarh,Bhagalpur,567,780
Sarangarh,Sri Ganganagar,1303,1619
Sarangarh,Balaghat,300,442
