node1,node2,Heuristic distance,route_distance
Sikar,Lucknow,581,680
Sikar,Rajsamand,308,375
Sikar,Raebareli,626,751
Sikar,Patna,1020,1189
Sikar,Gaya,1033,1221
Sikar,Kota,275,366
Sikar,Sikar,0,0
Sikar,Prayagraj,710,822
Sikar,Bhopal,533,702
Sikar,Una,441,575
Sikar,Bundi,246,329
Sikar,Sarangarh,1044,1322
Sikar,Lakhimpur,556,664
Sikar,Madhepura,1127,1320
Sikar,Arrah,975,1136
Sikar,Daudnagar,967,1150
Sikar,Belagavi,1303,1573
Sikar,Hanamkonda,1155,1509
Sikar,Sitamarhi,1033,1237
Sikar,Morena,308,402
Sikar,Agra,287,349
Sikar,Sitapur,546,676
Sikar,Delhi,227,295
Sikar,Faridabad,231,278
Sikar,Jodhpur,259,314
Sikar,Mahoba,538,721
Sikar,Pakur,1312,1568
Sikar,Sagar,552,727
Sikar,Baghpat,252,330
Sikar,Nawada,1081,1281
Sikar,Bikaner,185,221
Sikar,Mirzapur,789,917
Sikar,Ghazipur,869,1027
Sikar,Jaipur,100,114
Sikar,Durgapur,1303,1454
Sikar,Chitrakoot,631,776
Sikar,Aligarh,292,356
Sikar,Rohtas,929,1078
Sikar,Palamu,991,1236
Sikar,Araria,1233,1448
Sikar,Calicut,1811,2259
Sikar,Jehanabad,1017,1222
Sikar,Bhagalpur,1208,1420
Sikar,Sri Ganganagar,283,348
Sikar,Balaghat,819,1085
