node1,node2,Heuristic distance,route_distance
Sitamarhi,Lucknow,453,552
Sitamarhi,Rajsamand,1176,1424
Sitamarhi,Raebareli,425,520
Sitamarhi,Patna,116,131
Sitamarhi,Gaya,205,231
Sitamarhi,Kota,977,1185
Sitamarhi,Sikar,1033,1237
Sitamarhi,Prayagraj,387,466
Sitamarhi,Bhopal,896,1096
Sitamarhi,Una,1048,1407
Sitamarhi,Bundi,994,1217
Sitamarhi,Sarangarh,606,782
Sitamarhi,Lakhimpur,491,621
Sitamarhi,Madhepura,98,118
Sitamarhi,Arrah,141,174
Sitamarhi,Daudnagar,204,234
Sitamarhi,Belagavi,1647,1994
Sitamarhi,Hanamkonda,1130,1465
Sitamarhi,Sitamarhi,0,0
Sitamarhi,Morena,748,902
Sitamarhi,Agra,747,885
Sitamarhi,Sitapur,490,642
Sitamarhi,Delhi,861,1064
Sitamarhi,Faridabad,833,1061
Sitamarhi,Jodhpur,1244,1454
Sitamarhi,Mahoba,580,714
Sitamarhi,Pakur,320,450
Sitamarhi,Sagar,746,928
Sitamarhi,Baghpat,856,1067
Sitamarhi,Nawada,188,224
Sitamarhi,Bikaner,1216,1456
Sitamarhi,Mirzapur,335,416
Sitamarhi,Ghazipur,222,289
Sitamarhi,Jaipur,966,1123
Sitamarhi,Durgapur,385,482
Sitamarhi,Chitrakoot,490,592
Sitamarhi,Aligarh,748,900
Sitamarhi,Rohtas,224,268
Sitamarhi,Palamu,335,390
Sitamarhi,Araria,201,238
Sitamarhi,Calicut,1979,2502
Sitamarhi,Jehanabad,160,181
Sitamarhi,Bhagalpur,210,301
Sitamarhi,Sri Ganganagar,1197,1506
Sitamarhi,Balaghat,755,1029
