node1,node2,Heuristic distance,route_distance
Sitapur,Lucknow,83,89
Sitapur,Rajsamand,732,900
Sitapur,Raebareli,158,167
Sitapur,Patna,495,595
Sitapur,Gaya,530,628
Sitapur,Kota,546,675
Sitapur,Sikar,546,679
Sitapur,Prayagraj,263,290
Sitapur,Bhopal,579,703
Sitapur,Una,607,734
Sitapur,Bundi,554,707
Sitapur,Sarangarh,705,917
Sitapur,Lakhimpur,43,46
Sitapur,Madhepura,587,726
Sitapur,Arrah,455,543
Sitapur,Daudnagar,465,557
Sitapur,Belagavi,1445,1782
Sitapur,Hanamkonda,1065,1355
Sitapur,Sitamarhi,490,643
Sitapur,Morena,291,342
Sitapur,Agra,267,327
Sitapur,Sitapur,0,0
Sitapur,Delhi,373,448
Sitapur,Faridabad,343,448
Sitapur,Jodhpur,774,895
Sitapur,Mahoba,264,321
Sitapur,Pakur,787,975
Sitapur,Sagar,456,535
Sitapur,Baghpat,371,427
Sitapur,Nawada,569,687
Sitapur,Bikaner,727,883
Sitapur,Mirzapur,328,375
Sitapur,Ghazipur,362,434
Sitapur,Jaipur,489,565
Sitapur,Durgapur,803,934
Sitapur,Chitrakoot,265,316
Sitapur,Aligarh,258,306
Sitapur,Rohtas,433,527
Sitapur,Palamu,537,717
Sitapur,Araria,691,855
Sitapur,Calicut,1876,2331
Sitapur,Jehanabad,502,629
Sitapur,Bhagalpur,679,826
Sitapur,Sri Ganganagar,712,863
Sitapur,Balaghat,639,861
