node1,node2,Heuristic distance,route_distance
Sri Ganganagar,Lucknow,771,914
Sri Ganganagar,Rajsamand,536,671
Sri Ganganagar,Raebareli,831,985
Sri Ganganagar,Patna,1207,1422
Sri Ganganagar,Gaya,1236,1455
Sri Ganganagar,Kota,555,714
Sri Ganganagar,Sikar,283,348
Sri Ganganagar,Prayagraj,928,1082
Sri Ganganagar,Bhopal,816,1050
Sri Ganganagar,Una,286,365
Sri Ganganagar,Bundi,525,676
Sri Ganganagar,Sarangarh,1303,1620
Sri Ganganagar,Lakhimpur,706,858
Sri Ganganagar,Madhepura,1295,1554
Sri Ganganagar,Arrah,1167,1370
Sri Ganganagar,Daudnagar,1170,1384
Sri Ganganagar,Belagavi,1558,1877
Sri Ganganagar,Hanamkonda,1438,1857
Sri Ganganagar,Sitamarhi,1197,1471
Sri Ganganagar,Morena,553,700
Sri Ganganagar,Agra,504,620
Sri Ganganagar,Sitapur,712,861
Sri Ganganagar,Delhi,340,408
Sri Ganganagar,Faridabad,373,449
Sri Ganganagar,Jodhpur,415,501
Sri Ganganagar,Mahoba,782,988
Sri Ganganagar,Pakur,1500,1802
Sri Ganganagar,Sagar,827,1039
Sri Ganganagar,Baghpat,342,430
Sri Ganganagar,Nawada,1279,1515
Sri Ganganagar,Bikaner,216,241
Sri Ganganagar,Mirzapur,1007,1178
Sri Ganganagar,Ghazipur,1068,1261
Sri Ganganagar,Jaipur,381,462
Sri Ganganagar,Durgapur,1510,1714
Sri Ganganagar,Chitrakoot,866,1043
Sri Ganganagar,Aligarh,467,580
Sri Ganganagar,Rohtas,1135,1354
Sri Ganganagar,Palamu,1217,1497
Sri Ganganagar,Araria,1397,1682
Sri Ganganagar,Calicut,2074,2563
Sri Ganganagar,Jehanabad,1213,1456
Sri Ganganagar,Bhagalpur,1391,1653
Sri Ganganagar,Sri Ganganagar,0,0
Sri Ganganagar,Balaghat,1096,1411
