node1,node2,Heuristic distance,route_distance
Una,Lucknow,684,838
Una,Rajsamand,747,940
Una,Raebareli,756,908
Una,Patna,1084,1346
Una,Gaya,1131,1379
Una,Kota,694,854
Una,Sikar,441,556
Una,Prayagraj,862,1005
Una,Bhopal,916,1156
Una,Una,0,0
Una,Bundi,671,816
Una,Sarangarh,1287,1606
Una,Lakhimpur,585,737
Una,Madhepura,1147,1477
Una,Arrah,1050,1294
Una,Daudnagar,1069,1307
Una,Belagavi,1739,2061
Una,Hanamkonda,1527,1861
Una,Sitamarhi,1048,1394
Una,Morena,576,686
Una,Agra,504,606
Una,Sitapur,607,740
Una,Delhi,316,366
Una,Faridabad,353,402
Una,Jodhpur,660,842
Una,Mahoba,770,948
Una,Pakur,1365,1725
Una,Sagar,879,1025
Una,Baghpat,294,348
Una,Nawada,1165,1438
Una,Bikaner,477,589
Una,Mirzapur,934,1101
Una,Ghazipur,967,1185
Una,Jaipur,507,605
Una,Durgapur,1400,1637
Una,Chitrakoot,829,995
Una,Aligarh,433,503
Una,Rohtas,1038,1277
Una,Palamu,1144,1420
Una,Araria,1240,1605
Una,Calicut,2238,2746
Una,Jehanabad,1099,1380
Una,Bhagalpur,1255,1577
Una,Sri Ganganagar,286,366
Una,Balaghat,1138,1397
